Date,Open,High,Low,Close,MA_Short,MA_Mid,MA_Long,MACD,MACD_Signal,MACD_Hist
2025-07-14,2571.0,2574.0,2421.0,2512.0,,,,0.0,0.0,0.0
2025-07-15,2513.0,2544.0,2442.0,2448.0,,,,-5.1,-1.0,-4.1
2025-07-16,2442.0,2459.0,2400.0,2432.0,,,,-10.3,-2.9,-7.4
2025-07-17,2428.0,2497.0,2420.0,2431.0,,,,-14.4,-5.2,-9.2
2025-07-18,2443.0,2521.0,2400.0,2410.0,2446.6,,,-19.1,-8.0,-11.1
2025-07-22,2420.0,2426.0,2370.0,2413.0,2426.8,,,-22.3,-10.8,-11.5
2025-07-23,2477.0,2583.0,2436.0,2498.0,2436.8,,,-17.8,-12.2,-5.5
2025-07-24,2491.0,2574.0,2452.0,2523.0,2455.0,,,-12.0,-12.2,0.1
2025-07-25,2511.0,2545.0,2481.0,2487.0,2466.2,,,-10.3,-11.8,1.5
2025-07-28,2508.0,2553.0,2489.0,2524.0,2489.0,,,-5.8,-10.6,4.8
2025-07-29,2506.0,2514.0,2439.0,2471.0,2500.6,,,-6.5,-9.8,3.3
2025-07-30,2451.0,2459.0,2406.0,2415.0,2484.0,,,-11.4,-10.1,-1.3
2025-07-31,2408.0,2417.0,2359.0,2383.0,2456.0,,,-17.7,-11.6,-6.1
2025-08-01,2380.0,2435.0,2367.0,2424.0,2443.4,,,-19.1,-13.1,-6.0
2025-08-04,2375.0,2463.0,2371.0,2418.0,2422.2,,,-20.5,-14.6,-5.9
2025-08-05,2437.0,2458.0,2419.0,2439.0,2415.8,,,-19.7,-15.6,-4.1
2025-08-06,2440.0,2453.0,2415.0,2436.0,2420.0,,,-19.1,-16.3,-2.8
2025-08-07,2423.0,2483.0,2407.0,2464.0,2436.2,,,-16.2,-16.3,0.1
2025-08-08,2456.0,2528.0,2452.0,2501.0,2451.6,,,-10.7,-15.2,4.5
2025-08-12,2525.0,2554.0,2516.0,2537.0,2475.4,,,-3.5,-12.8,9.4
2025-08-13,2559.0,2581.0,2507.0,2550.0,2497.6,,,3.3,-9.6,12.9
2025-08-14,2350.0,2373.0,2231.0,2261.0,2462.6,,,-14.5,-10.6,-3.9
2025-08-15,2285.0,2450.0,2261.0,2450.0,2459.8,,,-13.2,-11.1,-2.1
2025-08-18,2439.0,2463.0,2396.0,2435.0,2446.6,,,-13.2,-11.5,-1.7
2025-08-19,2450.0,2489.0,2410.0,2453.0,2429.8,2452.6,,-11.7,-11.6,-0.1
2025-08-20,2465.0,2604.0,2420.0,2552.0,2430.2,2454.2,,-2.4,-9.7,7.3
2025-08-21,2669.0,2685.0,2466.0,2500.0,2478.0,2456.3,,0.7,-7.6,8.4
2025-08-22,2560.0,2589.0,2462.0,2462.0,2480.4,2457.5,,0.1,-6.1,6.2
2025-08-25,2477.0,2645.0,2463.0,2600.0,2513.4,2464.2,,10.7,-2.7,13.4
2025-08-26,2575.0,2607.0,2543.0,2607.0,2544.2,2472.1,,19.4,1.7,17.7
2025-08-27,2645.0,2842.0,2637.0,2837.0,2601.2,2489.1,,44.3,10.2,34.1
2025-08-28,2827.0,2965.0,2795.0,2865.0,2674.2,2503.8,,65.6,21.3,44.3
2025-08-29,2885.0,2895.0,2756.0,2773.0,2736.4,2513.8,,74.2,31.9,42.3
2025-09-01,2750.0,2774.0,2620.0,2624.0,2741.2,2519.2,,68.2,39.1,29.0
2025-09-02,2631.0,2683.0,2565.0,2575.0,2734.8,2521.3,,58.8,43.1,15.7
2025-09-03,2583.0,2615.0,2508.0,2508.0,2669.0,2522.8,,45.4,43.5,1.9
2025-09-04,2510.0,2553.0,2500.0,2510.0,2598.0,2526.6,,34.6,41.7,-7.2
2025-09-05,2511.0,2529.0,2460.0,2507.0,2544.8,2531.5,,25.4,38.5,-13.0
2025-09-08,2537.0,2570.0,2511.0,2555.0,2531.0,2536.8,,21.8,35.2,-13.3
2025-09-09,2570.0,2576.0,2470.0,2475.0,2511.0,2539.0,,12.4,30.6,-18.2
2025-09-10,2475.0,2504.0,2446.0,2453.0,2500.0,2539.6,,3.1,25.1,-22.0
2025-09-11,2453.0,2457.0,2407.0,2417.0,2481.4,2538.8,,-7.1,18.6,-25.8
2025-09-12,2467.0,2498.0,2438.0,2470.0,2474.0,2539.1,,-10.8,12.8,-23.6
2025-09-16,2459.0,2489.0,2424.0,2454.0,2453.8,2537.2,,-14.8,7.2,-22.1
2025-09-17,2441.0,2513.0,2435.0,2470.0,2452.8,2534.5,,-16.6,2.5,-19.0
2025-09-18,2498.0,2503.0,2420.0,2427.0,2447.6,2529.6,,-21.2,-2.2,-18.9
2025-09-19,2422.0,2422.0,2356.0,2391.0,2442.4,2534.8,,-27.4,-7.3,-20.1
2025-09-22,2400.0,2404.0,2351.0,2351.0,2418.6,2530.8,,-35.1,-12.8,-22.3
2025-09-24,2356.0,2375.0,2327.0,2365.0,2400.8,2528.0,,-39.7,-18.2,-21.5
2025-09-25,2352.0,2391.0,2332.0,2364.0,2379.6,2524.5,,-42.9,-23.1,-19.7
2025-09-26,2376.0,2394.0,2353.0,2376.0,2369.4,2517.4,,-44.0,-27.3,-16.6
2025-09-29,2382.0,2435.0,2366.0,2415.0,2374.2,2514.0,,-41.2,-30.1,-11.1
2025-09-30,2399.0,2399.0,2330.0,2351.0,2374.2,2509.6,,-43.6,-32.8,-10.8
2025-10-01,2338.0,2339.0,2267.0,2268.0,2354.8,2496.3,,-51.7,-36.6,-15.1
2025-10-02,2271.0,2287.0,2161.0,2171.0,2316.2,2478.9,,-65.1,-42.3,-22.9
2025-10-03,2198.0,2247.0,2198.0,2232.0,2287.4,2454.7,,-70.1,-47.8,-22.2
2025-10-06,2250.0,2282.0,2226.0,2254.0,2255.2,2430.2,,-71.4,-52.5,-18.8
2025-10-07,2288.0,2306.0,2266.0,2289.0,2242.8,2410.9,,-68.8,-55.8,-13.0
2025-10-08,2272.0,2317.0,2270.0,2300.0,2249.2,2397.9,,-65.1,-57.7,-7.5
2025-10-09,2306.0,2355.0,2303.0,2329.0,2280.8,2388.1,,-59.2,-58.0,-1.2
2025-10-10,2303.0,2306.0,2267.0,2286.0,2291.6,2379.2,,-57.3,-57.8,0.5
2025-10-14,2255.0,2275.0,2230.0,2248.0,2290.4,2368.7,,-58.2,-57.9,-0.3
2025-10-15,2275.0,2299.0,2266.0,2266.0,2285.8,2359.1,,-56.8,-57.7,0.9
2025-10-16,2251.0,2265.0,2189.0,2216.0,2269.0,2345.5,,-59.0,-57.9,-1.1
2025-10-17,2197.0,2230.0,2166.0,2181.0,2239.4,2333.8,,-62.9,-58.9,-4.0
2025-10-20,2196.0,2212.0,2142.0,2146.0,2211.4,2321.5,,-68.0,-60.7,-7.3
2025-10-21,2162.0,2180.0,2130.0,2130.0,2187.8,2310.0,,-72.5,-63.1,-9.4
2025-10-22,2130.0,2230.0,2128.0,2219.0,2178.4,2300.0,,-68.1,-64.1,-4.0
2025-10-23,2228.0,2244.0,2175.0,2195.0,2174.2,2289.6,,-65.8,-64.4,-1.4
2025-10-24,2194.0,2206.0,2142.0,2142.0,2166.4,2276.5,,-67.5,-65.1,-2.4
2025-10-27,2158.0,2168.0,2123.0,2130.0,2163.2,2264.6,,-69.0,-65.8,-3.1
2025-10-28,2105.0,2109.0,2070.0,2090.0,2155.2,2252.6,,-72.6,-67.2,-5.4
2025-10-29,2075.0,2088.0,2025.0,2025.0,2116.4,2239.5,,-79.7,-69.7,-10.0
2025-10-30,2033.0,2056.0,2029.0,2056.0,2088.6,2227.2,,-82.0,-72.1,-9.8
2025-10-31,2040.0,2079.0,2040.0,2059.0,2072.0,2215.0,2397.3,-82.5,-74.2,-8.3
2025-11-04,2080.0,2082.0,1996.0,2017.0,2049.4,2200.6,2390.7,-85.4,-76.5,-8.9
