Date,Open,High,Low,Close,MA_Short,MA_Mid,MA_Long,MA_Signal,MACD,MACD_Signal,MACD_Hist,ATR,Is_Weekly_Up
2025-09-16,4750.0,4765.0,4310.0,4705.0,,,,,0.0,0.0,0.0,,False
2025-09-17,4565.0,4635.0,4360.0,4440.0,,,,,-21.1,-4.2,-16.9,,False
2025-09-18,4620.0,4860.0,4405.0,4520.0,,,,,-31.1,-9.6,-21.5,,False
2025-09-19,4615.0,4725.0,4340.0,4530.0,,,,,-37.7,-15.2,-22.5,,False
2025-09-22,4550.0,4890.0,4545.0,4820.0,4603.0,,,,-19.4,-16.0,-3.3,,False
2025-09-24,5000.0,5180.0,4870.0,4950.0,4652.0,,,,5.6,-11.7,17.3,,False
2025-09-25,4810.0,4955.0,4775.0,4890.0,4742.0,,,,20.3,-5.3,25.6,,False
2025-09-26,4805.0,4855.0,4355.0,4395.0,4717.0,,,,-7.8,-5.8,-2.0,,False
2025-09-29,4465.0,4695.0,4420.0,4675.0,4746.0,,,,-7.5,-6.1,-1.3,,False
2025-09-30,5110.0,5150.0,4840.0,4875.0,4757.0,,,,8.8,-3.2,12.0,,False
2025-10-01,4805.0,4875.0,4555.0,4705.0,4708.0,,,,7.9,-0.9,8.9,,False
2025-10-02,5180.0,5410.0,5070.0,5410.0,4812.0,,,,63.4,11.9,51.5,,False
2025-10-03,6300.0,6410.0,5930.0,6180.0,5169.0,,,,167.5,43.0,124.5,,False
2025-10-06,6380.0,6520.0,6070.0,6320.0,5498.0,,,,258.4,86.1,172.3,451.8,False
2025-10-07,6220.0,6280.0,5860.0,5900.0,5703.0,,,,293.1,127.5,165.6,452.1,False
2025-10-08,5800.0,6180.0,5800.0,5880.0,5938.0,,,,315.4,165.1,150.3,454.6,False
2025-10-09,6320.0,6500.0,6160.0,6220.0,6100.0,,,,356.4,203.4,153.0,466.4,False
2025-10-10,6160.0,6310.0,6090.0,6160.0,6096.0,,,,379.7,238.6,141.0,454.6,False
2025-10-14,6230.0,6450.0,5980.0,6000.0,6032.0,,,,380.8,267.1,113.7,462.5,False
2025-10-15,5950.0,6340.0,5850.0,6320.0,6116.0,,,,402.9,294.2,108.7,471.8,False
2025-10-16,6630.0,6980.0,6600.0,6880.0,6316.0,,,,460.2,327.4,132.8,506.1,False
2025-10-17,6780.0,6940.0,6540.0,6560.0,6384.0,,,,474.4,356.8,117.6,496.4,False
2025-10-20,6700.0,7390.0,6590.0,7150.0,6582.0,,,,527.2,390.9,136.3,534.3,False
2025-10-21,7320.0,7390.0,6870.0,7040.0,6790.0,,,,553.8,423.5,130.3,537.5,False
2025-10-22,7020.0,7380.0,6630.0,7310.0,6988.0,5633.4,,,589.8,456.7,133.1,568.2,False
2025-10-23,7010.0,7370.0,6990.0,7370.0,7086.0,5740.0,,,616.1,488.6,127.5,545.0,False
2025-10-24,8120.0,8870.0,7880.0,8780.0,7530.0,5913.6,,,742.2,539.3,202.8,580.7,False
2025-10-27,9980.0,9990.0,9280.0,9810.0,8062.0,6125.2,,,914.6,614.4,300.3,635.0,False
2025-10-28,9480.0,9690.0,9200.0,9380.0,8530.0,6319.2,,,1005.0,692.5,312.5,645.7,False
2025-10-29,9530.0,10220.0,9350.0,10080.0,9084.0,6529.6,,,1120.3,778.1,342.2,680.7,False
2025-10-30,10380.0,10930.0,10200.0,10900.0,9790.0,6767.6,,,1263.2,875.1,388.1,697.1,False
2025-10-31,10960.0,11110.0,10465.0,10825.0,10199.0,7005.0,,,1354.8,971.0,383.7,727.5,False
2025-11-04,11360.0,11845.0,10680.0,10760.0,10389.0,7259.6,,,1405.9,1058.0,347.9,777.1,False
