Date,Open,High,Low,Close,MA_Short,MA_Mid,MA_Long,MACD,MACD_Signal,MACD_Hist
2025-07-14,7616.0,7905.0,7522.9,7832.7,,,,0.0,0.0,0.0
2025-07-15,7948.6,8105.0,7823.8,7979.2,,,,11.7,2.3,9.3
2025-07-16,7964.4,8232.6,7943.6,8085.2,,,,29.2,7.7,21.5
2025-07-17,8034.7,8125.7,7958.5,8125.7,,,,45.8,15.3,30.4
2025-07-18,8176.2,8550.4,8115.8,8415.8,8087.7,,,81.4,28.5,52.8
2025-07-22,8541.5,8824.6,8512.8,8807.8,8282.7,,,139.6,50.7,88.9
2025-07-23,8859.2,8948.3,8543.5,8697.9,8426.5,,,174.9,75.6,99.3
2025-07-24,8869.1,9362.1,8841.4,9283.9,8666.2,,,247.3,109.9,137.4
2025-07-25,8986.9,9246.3,8909.7,9076.0,8856.3,,,284.6,144.9,139.8
2025-07-28,9024.5,9136.4,8898.8,9033.4,8979.8,,,307.2,177.3,129.9
2025-07-29,8959.2,9041.4,8857.2,8924.6,9003.1,,,312.7,204.4,108.3
2025-07-30,8973.1,9154.2,8891.9,9140.3,9091.6,,,330.7,229.7,101.0
2025-07-31,9172.0,9337.3,9119.6,9325.4,9100.0,,,355.8,254.9,100.9
2025-08-01,9140.3,9380.9,9118.6,9268.0,9138.4,,,366.8,277.3,89.5
2025-08-04,8987.9,9277.9,8940.4,9265.1,9184.7,,,371.0,296.0,75.0
2025-08-05,9289.8,9458.1,8900.8,9259.1,9251.6,,,369.6,310.7,58.9
2025-08-06,9379.9,9836.2,9325.4,9824.3,9388.4,,,409.4,330.5,78.9
2025-08-07,9849.1,9850.1,9535.3,9727.3,9468.8,,,428.1,350.0,78.1
2025-08-08,9653.1,9769.9,9509.6,9542.2,9523.6,,,423.2,364.6,58.6
2025-08-12,9601.6,9615.5,9366.0,9477.9,9566.2,,,409.4,373.6,35.8
2025-08-13,9590.7,9760.0,9507.6,9524.4,9619.2,,,397.6,378.4,19.2
2025-08-14,9540.2,9568.0,9250.2,9369.0,9528.2,,,371.4,377.0,-5.6
2025-08-15,9458.1,9675.9,9346.2,9535.3,9489.8,,,359.9,373.6,-13.6
2025-08-18,9682.8,9792.7,9606.6,9607.6,9502.8,,,352.6,369.4,-16.8
2025-08-19,9532.3,9574.9,9224.5,9224.5,9452.1,9054.1,,312.3,358.0,-45.7
2025-08-20,9106.7,9121.5,8743.4,8937.4,9334.8,9098.3,,254.3,337.2,-83.0
2025-08-21,8973.1,9073.0,8898.8,8967.1,9254.4,9137.8,,208.3,311.4,-103.2
2025-08-22,8973.1,9058.2,8881.0,8942.4,9135.8,9172.1,,167.9,282.7,-114.9
2025-08-25,9024.5,9176.0,8938.4,9169.0,9048.1,9213.8,,152.4,256.7,-104.3
2025-08-26,9230.4,9284.9,8975.0,9079.0,9019.0,9240.4,,131.4,231.6,-100.2
2025-08-27,9227.5,9230.4,8980.0,9027.5,9037.0,9249.1,,109.3,207.1,-97.9
2025-08-28,8926.5,9046.3,8797.9,9007.7,9045.1,9261.5,,89.1,183.5,-94.4
2025-08-29,9004.7,9086.9,8902.8,8902.8,9037.2,9246.3,,64.0,159.6,-95.7
2025-09-01,8789.9,9106.7,8679.1,8806.8,8964.7,9235.5,,35.9,134.9,-99.0
2025-09-02,8902.8,8938.4,8643.4,8654.3,8879.8,9220.4,,1.3,108.1,-106.9
2025-09-03,8568.2,8697.9,8478.1,8526.6,8779.6,9204.4,,-36.0,79.3,-115.3
2025-09-04,8499.9,8784.0,8458.3,8734.5,8725.0,9188.2,,-48.2,53.8,-102.0
2025-09-05,8746.4,8874.1,8578.1,8788.0,8702.0,9166.7,,-53.0,32.4,-85.5
2025-09-08,9001.8,9105.7,8802.8,8832.5,8707.2,9149.3,,-52.6,15.4,-68.0
2025-09-09,8981.0,9043.3,8852.3,8933.5,8763.0,9136.0,,-43.6,3.6,-47.2
2025-09-10,8878.0,8908.7,8760.2,8839.4,8825.6,9119.2,,-43.6,-5.8,-37.8
2025-09-11,8936.4,8961.2,8777.1,8908.7,8860.4,9082.6,,-37.5,-12.2,-25.4
2025-09-12,8987.9,9009.7,8822.6,8858.2,8874.5,9047.9,,-36.4,-17.0,-19.4
2025-09-16,8874.1,8966.1,8604.8,8604.8,8828.9,9010.4,,-55.3,-24.7,-30.6
2025-09-17,8456.4,8629.6,8384.1,8518.7,8746.0,8972.0,,-76.3,-35.0,-41.3
2025-09-18,8493.0,8509.8,8351.4,8351.4,8648.4,8925.1,,-105.3,-49.1,-56.2
2025-09-19,8512.8,8822.6,8423.7,8795.9,8625.8,8902.1,,-91.3,-57.5,-33.8
2025-09-22,8911.7,8996.8,8418.7,8431.6,8540.5,8858.0,,-108.4,-67.7,-40.7
2025-09-24,8316.8,8623.6,8245.5,8619.7,8543.5,8818.5,,-105.6,-75.3,-30.3
2025-09-25,8623.6,8743.4,8485.1,8508.8,8541.5,8789.9,,-111.0,-82.4,-28.6
2025-09-26,8821.6,9074.0,8616.7,8798.8,8631.0,8784.3,,-90.8,-84.1,-6.7
2025-09-29,8846.6,9135.1,8706.3,9022.7,8676.3,8786.5,,-56.1,-78.5,22.4
2025-09-30,9053.5,9074.4,8827.7,8953.0,8780.6,8787.0,,-33.9,-69.6,35.7
2025-10-01,8878.4,8931.1,8570.0,8571.0,8770.9,8763.0,,-46.5,-65.0,18.5
2025-10-02,8657.6,8830.7,8473.5,8594.9,8788.1,8743.7,,-54.0,-62.8,8.8
2025-10-03,8497.4,8642.7,8434.8,8490.5,8726.4,8722.2,,-67.5,-63.7,-3.8
2025-10-06,9385.8,9797.6,9304.2,9797.6,8881.4,8753.8,,26.9,-45.6,72.5
2025-10-07,10176.6,10405.4,9716.0,9793.6,9049.5,8789.4,,100.2,-16.4,116.6
2025-10-08,9699.1,10196.5,9699.1,10112.0,9357.7,8841.6,,181.9,23.2,158.7
2025-10-09,10286.0,10291.0,10017.4,10151.7,9669.1,8901.5,,247.1,68.0,179.1
2025-10-10,10126.9,10126.9,9477.3,9565.8,9884.1,8943.1,,248.5,104.1,144.4
2025-10-14,9416.6,9602.6,9196.8,9196.8,9764.0,8961.6,,217.4,126.8,90.6
2025-10-15,9216.7,9579.7,9203.7,9579.7,9721.2,8993.3,,221.1,145.6,75.5
2025-10-16,9729.0,9875.2,9580.7,9608.6,9620.5,9024.3,,223.8,161.3,62.5
2025-10-17,9644.4,9821.5,9581.7,9649.4,9520.1,9052.9,,226.6,174.3,52.2
2025-10-20,9649.4,10092.1,9380.8,10037.3,9614.4,9100.9,,257.1,190.9,66.2
2025-10-21,10241.3,10276.1,9760.8,9805.6,9736.1,9136.7,,259.6,204.6,55.0
2025-10-22,9997.6,10186.6,9901.1,10112.0,9842.6,9186.9,,283.1,220.3,62.8
2025-10-23,9952.8,10231.3,9913.0,10131.8,9947.2,9248.0,,299.8,236.2,63.6
2025-10-24,10246.2,10271.1,10002.5,10191.5,10055.6,9314.9,,314.3,251.8,62.5
2025-10-27,10291.0,10375.6,10092.1,10320.9,10112.4,9393.6,,332.4,267.9,64.4
2025-10-28,10156.7,10236.3,9783.7,9783.7,10108.0,9433.2,,299.9,274.3,25.5
2025-10-29,10380.5,10420.3,9967.7,10146.8,10114.9,9501.8,,300.0,279.5,20.5
2025-10-30,10231.3,10276.1,10017.4,10151.7,10118.9,9563.1,,297.0,283.0,14.1
2025-10-31,10047.3,10171.6,9967.7,10087.1,10098.0,9626.2,9156.7,286.2,283.6,2.6
2025-11-04,10022.4,10067.2,9790.6,9790.6,9992.0,9665.9,9182.8,250.8,277.0,-26.3
2025-11-05,9405.7,9450.4,8833.7,9034.6,9842.2,9666.3,9196.9,159.8,253.6,-93.8
2025-11-06,9092.3,9209.7,8977.9,9152.0,9643.2,9674.3,9211.1,96.2,222.1,-126.0
2025-11-07,8853.6,8953.0,8687.4,8741.1,9361.1,9681.1,9219.3,12.4,180.2,-167.8
2025-11-10,8738.2,8973.9,8644.7,8825.7,9108.8,9690.3,9224.8,-46.6,134.8,-181.4
2025-11-11,9335.0,9465.3,9104.2,9267.4,9004.2,9721.4,9230.9,-57.1,96.4,-153.5
2025-11-12,9251.5,9317.1,9074.4,9274.3,9052.1,9700.5,9238.6,-64.1,64.3,-128.4
2025-11-13,9448.4,9937.9,9386.8,9738.9,9169.5,9698.3,9244.7,-31.8,45.1,-76.9
2025-11-14,9540.9,9665.3,9351.9,9484.2,9318.1,9673.2,9250.1,-26.5,30.8,-57.2
2025-11-17,9649.4,10171.6,9515.1,10161.7,9585.3,9673.6,9265.2,32.1,31.0,1.0
2025-11-18,10002.5,10042.3,9541.9,9611.6,9654.2,9675.4,9274.3,33.7,31.6,2.1
2025-11-19,9651.4,9686.2,9225.6,9423.6,9684.0,9684.5,9278.1,19.6,29.2,-9.6
2025-11-20,9736.9,9884.1,9623.5,9728.0,9681.8,9690.4,9283.5,32.6,29.9,2.7
2025-11-21,9370.8,9426.5,8740.1,8900.3,9565.0,9662.1,9278.6,-23.6,19.2,-42.8
2025-11-25,8953.0,8982.9,8557.1,8654.6,9263.6,9622.3,9270.4,-87.0,-2.1,-84.9
2025-11-26,8660.6,8926.2,8641.7,8836.6,9108.6,9574.3,9264.8,-121.1,-25.9,-95.3
2025-11-27,8873.5,8952.0,8808.8,8926.2,9009.1,9539.1,9252.8,-139.4,-48.6,-90.8
2025-11-28,9051.5,9309.2,9050.5,9186.8,8900.9,9502.1,9245.6,-131.3,-65.1,-66.1
2025-12-01,9199.7,9248.5,8823.7,8863.5,8893.5,9451.3,9236.6,-149.2,-81.9,-67.3
2025-12-02,8848.6,8853.6,8509.4,8509.4,8864.5,9384.1,9223.6,-189.8,-103.5,-86.3
2025-12-03,8509.4,8774.0,8422.8,8547.2,8806.6,9313.1,9210.6,-216.5,-126.1,-90.4
2025-12-04,8598.9,8791.9,8552.1,8766.0,8774.6,9272.4,9202.6,-217.4,-144.4,-73.0
2025-12-05,8734.2,9140.1,8726.2,9067.4,8750.7,9229.2,9196.3,-191.6,-153.8,-37.8
2025-12-08,9248.5,9495.2,9185.8,9492.2,8876.4,9202.8,9194.8,-135.4,-150.1,14.8
2025-12-09,9455.4,9549.9,9283.3,9328.1,9040.2,9172.5,9196.2,-102.8,-140.7,37.8
2025-12-10,9286.3,9459.4,8977.9,9082.4,9147.2,9144.2,9198.1,-95.8,-131.7,35.9
2025-12-11,8996.8,9131.1,8736.2,8800.8,9154.2,9134.8,9195.9,-111.6,-127.7,16.1
2025-12-12,8855.5,8963.0,8765.0,8893.3,9119.4,9124.5,9195.2,-115.4,-125.2,9.9
2025-12-15,8506.4,8529.3,8180.1,8191.0,8859.1,9102.4,9182.2,-173.0,-134.8,-38.2
2025-12-16,8216.9,8264.6,7928.4,7948.3,8583.2,9067.4,9167.1,-235.6,-154.9,-80.6
2025-12-17,7872.7,7920.5,7631.0,7892.6,8345.2,9012.4,9152.0,-286.3,-181.2,-105.1
2025-12-18,7362.4,7491.7,7281.8,7356.4,8056.3,8935.6,9130.0,-365.6,-218.1,-147.5
2025-12-19,7207.2,7629.0,7207.2,7538.5,7785.4,8847.6,9111.8,-409.1,-256.3,-152.8
2025-12-22,7836.9,7977.2,7776.2,7890.6,7725.3,8783.9,9099.6,-410.3,-287.1,-123.2
2025-12-23,7893.6,7957.3,7815.0,7920.5,7719.7,8694.2,9089.8,-404.3,-310.5,-93.7
2025-12-24,7924.4,7937.4,7745.4,7796.1,7700.4,8621.6,9080.0,-404.8,-329.4,-75.5
2025-12-25,7856.8,7858.8,7676.7,7775.2,7784.2,8555.7,9067.2,-402.3,-344.0,-58.4
2025-12-26,7872.7,7895.6,7649.9,7687.7,7814.0,8474.1,9052.6,-402.8,-355.7,-47.0
2025-12-29,7757.3,7890.6,7723.5,7824.0,7800.7,8431.0,9039.1,-387.7,-362.1,-25.5
2025-12-30,7687.7,7745.4,7540.4,7638.9,7744.4,8390.4,9021.9,-386.2,-366.9,-19.2
2026-01-05,7937.4,8077.6,7860.8,7990.1,7783.2,8356.5,9010.5,-352.6,-364.1,11.5
2026-01-06,8157.2,8365.1,8087.6,8353.2,7898.8,8333.6,9003.1,-293.3,-349.9,56.6
2026-01-07,8260.7,8533.2,8132.3,8321.3,8025.5,8299.0,8996.0,-246.0,-329.1,83.1
2026-01-08,8321.3,8624.8,8321.3,8508.4,8162.4,8284.8,8994.7,-191.2,-301.5,110.3
2026-01-09,8505.4,8584.0,8387.0,8584.0,8351.4,8287.8,8995.6,-140.1,-269.3,129.1
2026-01-13,8882.4,8975.9,8755.1,8851.6,8523.7,8299.9,9002.2,-77.2,-230.8,153.7
2026-01-14,8912.2,9315.1,8900.3,9315.1,8716.1,8321.9,9009.2,10.1,-182.7,192.7
2026-01-15,9203.7,9609.6,9162.9,9609.6,8973.7,8343.6,9024.9,101.7,-125.8,227.5
2026-01-16,9577.8,9642.4,9341.0,9444.5,9160.9,8341.7,9035.9,159.3,-68.8,228.0
2026-01-19,9444.5,9826.5,9280.3,9804.6,9405.1,8360.7,9053.1,231.2,-8.8,240.0
2026-01-20,9848.3,9952.8,9465.3,9529.0,9540.6,8378.6,9062.9,263.0,45.6,217.4
2026-01-21,9230.6,9556.9,9122.1,9497.2,9577.0,8406.5,9069.2,282.4,92.9,189.4
2026-01-22,9619.5,9681.2,9261.4,9261.4,9507.3,8421.2,9073.3,275.5,129.4,146.0
2026-01-23,9241.5,9340.0,8934.1,8958.0,9410.0,8451.9,9078.5,242.8,152.1,90.7
2026-01-26,8923.2,8991.8,8706.3,8865.5,9222.2,8488.6,9082.1,207.0,163.1,43.9
2026-01-27,8769.0,8853.6,8485.5,8556.1,9027.6,8515.1,9083.0,151.9,160.9,-8.9
2026-01-28,8546.2,8578.0,8371.1,8480.5,8824.3,8560.1,9065.4,101.0,148.9,-47.9
2026-01-29,8594.9,8731.2,8483.5,8718.3,8715.7,8607.2,9051.1,78.9,134.9,-56.0
2026-01-30,8621.8,8698.4,8361.1,8490.5,8622.2,8631.2,9029.4,42.6,116.4,-73.9
2026-02-02,8607.8,8753.1,8376.1,8451.7,8539.4,8652.5,9006.8,10.5,95.2,-84.7
2026-02-03,8515.3,8776.0,8392.0,8776.0,8583.4,8691.7,8996.2,11.1,78.4,-67.3
2026-02-04,8817.7,8945.1,8616.8,8945.1,8676.3,8738.5,8992.9,25.0,67.7,-42.8
