Date,Open,High,Low,Close,MA_Short,MA_Mid,MA_Long,MACD,MACD_Signal,MACD_Hist,ATR
2025-08-04,3610.7,3735.2,3601.3,3683.1,,,,0.0,0.0,0.0,
2025-08-05,3727.7,3753.5,3539.4,3557.7,,,,-10.0,-2.0,-8.0,
2025-08-06,3546.8,3659.8,3524.0,3580.0,,,,-15.9,-4.8,-11.2,
2025-08-07,3574.1,3684.1,3559.2,3643.5,,,,-15.4,-6.9,-8.5,
2025-08-08,3650.4,3675.7,3552.7,3577.5,3608.4,,,-20.0,-9.5,-10.5,
2025-08-12,3586.5,3663.3,3569.6,3652.9,3602.3,,,-17.4,-11.1,-6.3,
2025-08-13,3696.5,3752.0,3608.8,3673.2,3625.4,,,-13.5,-11.6,-1.9,
2025-08-14,3648.4,3653.4,3506.1,3544.3,3618.3,,,-20.6,-13.4,-7.2,
2025-08-15,3582.5,3632.1,3551.8,3569.1,3603.4,,,-24.0,-15.5,-8.5,
2025-08-18,3554.7,3596.4,3515.1,3556.7,3599.2,,,-27.3,-17.9,-9.4,
2025-08-19,3595.9,3649.9,3550.8,3564.6,3581.6,,,-29.0,-20.1,-8.9,
2025-08-20,3512.1,3576.0,3480.9,3524.5,3551.9,,,-33.1,-22.7,-10.5,
2025-08-21,3495.7,3544.3,3448.6,3479.4,3538.9,,,-39.6,-26.1,-13.6,
2025-08-22,3484.8,3497.2,3413.4,3449.1,3514.9,,,-46.7,-30.2,-16.5,119.9
2025-08-25,3458.6,3459.1,3304.4,3356.9,3474.9,,,-59.0,-36.0,-23.1,121.4
2025-08-26,3361.4,3429.3,3350.0,3367.3,3435.5,,,-67.2,-42.2,-25.0,111.7
2025-08-27,3429.8,3462.0,3312.8,3343.1,3399.2,,,-74.8,-48.7,-26.1,112.7
2025-08-28,3354.0,3354.0,3268.4,3275.4,3358.4,,,-85.3,-56.0,-29.2,109.9
2025-08-29,3295.3,3309.2,3141.0,3173.8,3303.3,,,-100.6,-65.0,-35.7,113.1
2025-09-01,3154.9,3253.5,3114.1,3181.8,3268.3,,,-110.8,-74.1,-36.7,116.4
2025-09-02,3136.0,3160.9,3067.3,3101.1,3215.0,,,-124.0,-84.1,-39.9,114.3
2025-09-03,3100.1,3101.1,2991.6,3003.6,3147.1,,,-140.7,-95.4,-45.3,110.2
2025-09-04,3036.4,3056.3,2917.0,2959.3,3083.9,,,-155.8,-107.5,-48.3,113.9
2025-09-05,2959.8,3128.0,2915.0,3090.2,3067.2,,,-155.3,-117.1,-38.2,123.3
2025-09-08,3086.2,3129.0,3012.5,3052.4,3041.3,3398.4,,-156.2,-124.9,-31.3,124.6
2025-09-09,3105.1,3124.0,3038.4,3062.3,3033.5,3373.6,,-154.3,-130.8,-23.5,123.9
2025-09-10,3105.1,3123.0,3024.5,3074.3,3047.7,3354.3,,-150.1,-134.7,-15.5,124.1
2025-09-11,3185.8,3225.6,3135.0,3197.7,3095.4,3339.0,,-135.3,-134.8,-0.5,128.9
2025-09-12,3235.5,3239.5,3132.0,3228.6,3123.0,3322.4,,-119.7,-131.8,12.1,125.5
2025-09-16,3225.6,3253.5,3124.0,3131.0,3138.8,3304.5,,-113.9,-128.2,14.3,129.1
