Date,Open,High,Low,Close,MA_Short,MA_Mid,MA_Long,MA_Signal,MACD,MACD_Signal,MACD_Hist,ATR,Is_Weekly_Up
2025-10-14,2204.3,2236.2,2191.1,2198.9,,,,,0.0,0.0,0.0,,False
2025-10-15,2216.6,2253.9,2215.6,2248.0,,,,,3.9,0.8,3.1,,False
2025-10-16,2263.7,2278.9,2242.6,2257.8,,,,,7.7,2.2,5.5,,False
2025-10-17,2208.7,2214.6,2188.6,2190.6,,,,,5.2,2.8,2.5,,False
2025-10-20,2234.2,2281.3,2213.1,2281.3,2235.3,,,,10.5,4.3,6.2,,False
2025-10-21,2295.6,2309.3,2252.9,2264.2,2248.4,,,,13.1,6.1,7.0,,False
2025-10-22,2247.0,2250.9,2235.2,2237.2,2246.2,,,,12.9,7.4,5.4,,False
2025-10-23,2227.4,2228.8,2208.2,2219.0,2238.4,,,,11.1,8.2,2.9,,False
2025-10-24,2227.4,2228.3,2192.0,2192.0,2238.7,,,,7.4,8.0,-0.6,,False
2025-10-27,2217.5,2244.0,2215.1,2230.3,2228.5,,,,7.5,7.9,-0.4,,False
2025-10-28,2229.8,2240.1,2216.1,2230.8,2221.9,,,,7.5,7.8,-0.3,,False
2025-10-29,2227.4,2254.3,2213.6,2237.7,2222.0,,,,8.0,7.9,0.1,,False
2025-10-30,2252.4,2282.3,2250.4,2278.4,2233.8,,,,11.5,8.6,2.9,,False
2025-10-31,2293.6,2294.1,2258.3,2286.2,2252.7,,,,14.8,9.8,4.9,46.0,False
2025-11-04,2274.9,2306.8,2259.7,2288.2,2264.3,,,,17.3,11.3,6.0,46.2,False
2025-11-05,2271.5,2272.5,2196.0,2250.9,2268.3,,,,16.1,12.3,3.9,48.8,False
2025-11-06,2269.1,2286.2,2263.2,2286.2,2278.0,,,,17.9,13.4,4.5,48.7,False
2025-11-07,2260.7,2289.2,2247.0,2271.0,2276.5,,,,17.8,14.3,3.5,46.8,False
2025-11-10,2286.2,2295.1,2276.9,2286.2,2276.5,,,,18.7,15.2,3.6,42.1,False
2025-11-11,2305.9,2313.7,2274.9,2277.9,2274.5,,,,18.6,15.8,2.7,40.8,False
2025-11-12,2305.9,2354.9,2301.4,2354.9,2295.3,,,,24.4,17.6,6.9,44.2,False
2025-11-13,2384.4,2419.7,2383.4,2404.0,2318.8,,,,32.6,20.6,12.0,46.8,False
2025-11-14,2379.0,2419.7,2374.5,2405.0,2345.6,,,,38.8,24.2,14.5,47.4,False
2025-11-17,2378.0,2406.9,2360.3,2380.9,2364.5,,,,41.2,27.6,13.6,47.0,False
2025-11-18,2355.9,2358.4,2301.0,2301.0,2369.1,2274.3,,,36.3,29.3,6.9,51.0,False
2025-11-19,2307.8,2328.4,2277.9,2296.0,2357.4,2278.2,,,31.6,29.8,1.8,51.7,False
2025-11-20,2353.4,2366.2,2335.8,2341.7,2344.9,2282.0,,,31.2,30.1,1.1,53.5,False
2025-11-21,2301.0,2348.0,2292.1,2340.2,2332.0,2285.3,,,30.4,30.1,0.3,55.0,False
2025-11-25,2354.9,2363.7,2315.7,2332.8,2322.3,2291.0,,,28.9,29.9,-1.0,55.1,False
2025-11-26,2352.0,2401.0,2334.8,2401.0,2342.4,2295.7,,,32.8,30.5,2.3,53.3,False
2025-11-27,2404.0,2425.1,2367.2,2369.6,2357.1,2300.0,,,33.0,31.0,2.0,54.9,False
2025-11-28,2362.3,2385.8,2356.9,2378.0,2364.3,2305.6,,,33.4,31.5,2.0,54.0,False
2025-12-01,2404.0,2451.6,2400.5,2416.7,2379.6,2313.5,,,36.5,32.5,4.0,57.5,False
2025-12-02,2453.0,2495.7,2431.0,2476.1,2408.3,2324.9,,,43.2,34.6,8.6,60.4,False
2025-12-03,2468.2,2469.2,2421.6,2423.6,2412.8,2332.6,,,43.8,36.4,7.3,58.8,False
2025-12-04,2414.3,2467.8,2408.9,2467.8,2432.4,2342.1,,,47.2,38.6,8.6,58.4,False
2025-12-05,2462.9,2486.4,2436.4,2482.0,2453.2,2351.9,,,50.6,41.0,9.6,58.7,False
2025-12-08,2460.9,2472.2,2446.2,2451.6,2460.2,2358.8,,,50.2,42.8,7.3,58.0,False
2025-12-09,2462.4,2467.3,2435.9,2439.3,2452.8,2364.9,,,48.3,43.9,4.4,54.5,False
2025-12-10,2404.0,2430.5,2395.1,2421.6,2452.4,2370.2,,,44.9,44.1,0.8,54.0,False
2025-12-11,2434.4,2446.7,2392.7,2392.7,2437.4,2375.9,,,39.4,43.2,-3.8,52.9,False
2025-12-12,2411.3,2457.0,2411.3,2452.1,2431.5,2382.5,,,39.3,42.4,-3.1,53.5,False
2025-12-15,2465.8,2509.9,2465.3,2509.9,2443.1,2392.1,,,43.5,42.6,0.9,54.2,False
2025-12-16,2524.2,2527.6,2430.5,2430.5,2441.4,2397.9,,,39.9,42.1,-2.2,56.2,False
2025-12-17,2405.0,2420.2,2377.0,2407.4,2438.5,2403.1,,,34.8,40.6,-5.8,55.9,False
2025-12-18,2388.3,2410.4,2379.9,2383.4,2436.7,2404.2,,,28.5,38.2,-9.7,56.0,False
2025-12-19,2379.4,2423.6,2372.1,2403.5,2426.9,2404.2,,,24.8,35.5,-10.7,54.5,False
2025-12-22,2452.1,2468.7,2436.4,2448.1,2414.6,2405.9,,,25.2,33.5,-8.2,53.5,False
2025-12-23,2453.0,2479.5,2444.7,2467.8,2422.0,2409.4,,,26.8,32.1,-5.3,52.1,False
2025-12-24,2464.8,2472.7,2430.0,2434.4,2427.4,2414.7,,,25.1,30.7,-5.6,50.9,False
2025-12-25,2443.2,2443.2,2424.1,2437.8,2438.3,2420.4,,,23.8,29.3,-5.6,48.7,False
2025-12-26,2442.2,2450.6,2431.5,2438.8,2445.4,2424.3,,,22.5,28.0,-5.5,47.5,False
2025-12-29,2439.3,2464.8,2427.0,2449.6,2445.7,2428.6,,,22.1,26.8,-4.7,48.0,False
2025-12-30,2441.8,2459.9,2435.4,2446.2,2441.4,2433.2,,,21.3,25.7,-4.4,46.6,False
2026-01-05,2471.2,2509.0,2469.2,2497.2,2453.9,2437.0,,,24.5,25.5,-1.0,47.2,False
2026-01-06,2541.3,2577.2,2540.4,2575.7,2481.5,2445.3,,,33.0,27.0,6.0,48.3,False
2026-01-07,2607.1,2608.1,2549.7,2569.8,2507.7,2452.9,,,38.8,29.3,9.4,48.4,False
2026-01-08,2542.3,2568.8,2529.6,2555.1,2528.8,2458.5,,,41.7,31.8,9.9,44.3,False
2026-01-09,2568.3,2628.2,2564.9,2592.4,2558.0,2463.1,,,46.5,34.7,11.7,45.7,False
2026-01-13,2690.5,2730.7,2668.9,2729.7,2604.5,2475.4,,,60.7,39.9,20.7,53.4,False
2026-01-14,2747.4,2825.4,2731.7,2825.4,2654.5,2489.7,,,78.7,47.7,31.0,56.6,False
2026-01-15,2825.9,2920.6,2813.6,2908.3,2722.2,2506.7,,,98.6,57.9,40.7,59.5,False
2026-01-16,2924.0,2958.4,2909.3,2933.8,2797.9,2526.0,,,115.0,69.3,45.7,60.6,False
2026-01-19,2915.7,2919.1,2869.1,2897.5,2859.0,2544.4,,,123.7,80.2,43.6,62.2,False
2026-01-20,2908.8,2909.3,2866.1,2878.9,2888.8,2562.6,,,127.7,89.7,38.0,63.9,False
2026-01-21,2819.0,2825.9,2774.9,2778.3,2879.4,2578.1,,,121.3,96.0,25.3,70.0,False
