Date,Action,Price,Reason,Profit,Capital
2025-12-05,BUY,1080.0,モメンタム + 短期MA反発,0.0,1.0
2025-12-18,SELL,1162.0,短期MA割れ(トレンド転換),82.0,1.0759
2026-02-06,BUY,1190.0,モメンタム + 短期MA反発,0.0,1.0759
2026-02-16,SELL,1210.0,短期MA割れ(トレンド転換),20.0,1.094
2026-02-17,BUY,1329.0,モメンタム + 短期MA反発,0.0,1.094
2026-02-24,SELL,1350.0,短期MA割れ(トレンド転換),21.0,1.1113
2026-03-02,BUY,1380.0,モメンタム + MACD,0.0,1.1113
2026-03-04,SELL,1311.0,ハードストップ,-69.0,1.0557
2026-03-19,BUY,1427.0,モメンタム + 短期MA反発,0.0,1.0557
2026-03-23,SELL,1334.0,ハードストップ,-93.0,0.9869
2026-05-14,BUY,1627.0,モメンタム + 短期MA反発,0.0,0.9869
2026-05-15,SELL,1529.0,ハードストップ,-98.0,0.9275
2026-05-25,BUY,1955.0,モメンタム + 短期MA反発,0.0,0.9275
2026-05-26,SELL,1857.2,ハードストップ,-97.8,0.8811
