Date,Action,Price,Reason,Profit,Capital
2025-12-05,BUY,7467.1,MACD上抜け,0.0,1.0
2025-12-09,SELL,6865.0,ハードストップ,-602.1,0.9194
2025-12-29,BUY,6629.0,MACD上抜け,0.0,0.9194
2026-01-21,SELL,6297.5,ハードストップ,-331.5,0.8734
2026-02-20,BUY,5645.0,MACD上抜け,0.0,0.8734
2026-02-25,SELL,5025.0,ハードストップ,-620.0,0.7775
2026-03-06,BUY,5360.0,MACD上抜け,0.0,0.7775
2026-03-30,SELL,5092.0,ハードストップ,-268.0,0.7386
2026-04-09,BUY,5435.0,ゴールデンクロス,0.0,0.7386
2026-04-13,SELL,5073.0,ハードストップ,-362.0,0.6894
2026-04-17,BUY,6012.0,ゴールデンクロス,0.0,0.6894
2026-04-23,SELL,5711.4,ハードストップ,-300.6,0.6549
2026-04-28,BUY,5514.0,押し目買い,0.0,0.6549
2026-05-01,SELL,5238.3,ハードストップ,-275.7,0.6222
2026-05-13,BUY,5725.0,ゴールデンクロス,0.0,0.6222
2026-05-15,SELL,5400.0,ハードストップ,-325.0,0.5869
2026-05-19,BUY,6081.0,MACD上抜け,0.0,0.5869
2026-05-27,HOLDING,6065.0,POS_OPEN,0.0,0.5869
