Ticker,Initial_Capital,Final_Capital,Total_Profit_JPY,Profit_Rate_Pct,Trade_Count
290A.T,1.0,0.9496,0,-5.04,6
8306.T,1.0,1.1399,0,13.99,5
1605.T,1.0,1.1889,0,18.89,3
6613.T,1.0,1.6432,0,64.32,6
6838.T,1.0,2.0455,0,104.55,4
6804.T,1.0,1.1072,0,10.72,5
6864.T,1.0,1.2449,0,24.49,5
9412.T,1.0,1.6674,0,66.74,6
3993.T,1.0,1.131,0,13.1,5
464A.T,1.0,1.661,0,66.1,7
5857.T,1.0,1.4748,0,47.48,5
6920.T,1.0,1.5932,0,59.32,5
186A.T,1.0,1.631,0,63.1,4
1893.T,1.0,1.461,0,46.1,6
4425.T,1.0,1.2657,0,26.57,5
5803.T,1.0,1.1813,0,18.13,6
6629.T,1.0,1.5621,0,56.21,2
7409.T,1.0,0.8972,0,-10.28,4
9984.T,1.0,1.271,0,27.1,5
