Ticker,Name,Open,High,Low,Close,GapText,GapRaw,Action_Fixed,Type_Fixed,Action_ATR,Type_ATR
1605.T,INPEX CORPORATION,3317.0,3324.0,3278.0,3278.0,-19.0 (-0.58%),-19.0,待機,IDLE,待機,IDLE
186A.T,ASTROSCALE HOLDINGS INC,1113.0,1161.0,1083.0,1140.0,+45.0 (+4.11%),45.0,待機,IDLE,待機,IDLE
1893.T,PENTA OCEAN CONSTRUCTION,1721.0,1753.5,1682.0,1714.0,+1.0 (+0.06%),1.0,待機,IDLE,待機,IDLE
2326.T,DIGITAL ARTS INC,3680.0,3720.0,3675.0,3695.0,+70.0 (+1.93%),70.0,待機,IDLE,待機,IDLE
285A.T,KIOXIA HOLDINGS CORPORATION,92730.0,93140.0,82100.0,88450.0,-3730.0 (-4.05%),-3730.0,待機,IDLE,待機,IDLE
290A.T,SYNSPECTIVE INC,1159.0,1216.0,1136.0,1185.0,+37.0 (+3.22%),37.0,待機,IDLE,待機,IDLE
3132.T,MACNICA HOLDINGS INC,3228.0,3228.0,3098.0,3187.0,+3.0 (+0.09%),3.0,待機,IDLE,ストップ：3058.8円,HOLD_LONG
3692.T,FFRI SECURITY INC,4470.0,4795.0,4470.0,4775.0,+335.0 (+7.55%),335.0,新規買：MACD上抜け,NEW_LONG,新規買：MACD上抜け,NEW_LONG
3993.T,PKSHA TECHNOLOGY INC,2653.0,2730.0,2646.0,2730.0,+218.0 (+8.68%),218.0,新規買：MACD上抜け,NEW_LONG,新規買：MACD上抜け,NEW_LONG
4258.T,AMIYA CORP,3390.0,3570.0,3390.0,3500.0,+250.0 (+7.69%),250.0,待機,IDLE,ストップ：3111.9円,HOLD_LONG
4274.T,HOSOYA PYRO-ENGINEERING CO LTD,1056.0,1069.0,1039.0,1060.0,+34.0 (+3.31%),34.0,ストップ：996.6円,HOLD_LONG,ストップ：1001.2円,HOLD_LONG
4307.T,NOMURA RESEARCH INSTITUTE,4473.0,4649.0,4473.0,4630.0,+329.0 (+7.65%),329.0,待機,IDLE,待機,IDLE
4417.T,GLOBAL SECURITY EXPERTS INC,3500.0,3850.0,3500.0,3825.0,+515.0 (+15.56%),515.0,新規買：MACD上抜け,NEW_LONG,トレイル：3498.4円,HOLD_LONG
4425.T,KUDAN INC,1894.0,1930.0,1825.0,1877.0,+62.0 (+3.42%),62.0,待機,IDLE,待機,IDLE
464A.T,QPS HOLDINGS INC,1906.0,1938.0,1841.0,1874.0,+8.0 (+0.43%),8.0,待機,IDLE,待機,IDLE
4704.T,TREND MICRO INC,5757.0,6064.0,5750.0,5973.0,+383.0 (+6.85%),383.0,待機,IDLE,待機,IDLE
5201.T,AGC INC,7104.0,7110.0,6851.0,6914.0,-127.0 (-1.8%),-127.0,待機,IDLE,ストップ：6835.1円,HOLD_LONG
5803.T,FUJIKURA,6127.0,6166.0,5611.0,5885.0,-246.0 (-4.01%),-246.0,待機,IDLE,待機,IDLE
