Date,Action,Price,Reason,Profit,Capital
2026-01-06,BUY,6345.2,MACD上抜け,0.0,1.0
2026-01-20,SELL,7823.7,トレーリングストップ,1478.5,1.233
2026-02-04,BUY,8068.4,MACD上抜け,0.0,1.233
2026-02-10,SELL,8266.2,トレーリングストップ,197.8,1.2632
2026-03-19,BUY,7221.7,MACD上抜け,0.0,1.2632
2026-03-27,SELL,6535.4,ハードストップ,-686.3,1.1432
2026-04-20,BUY,6280.0,MACD上抜け,0.0,1.1432
2026-04-30,SELL,6071.4,トレーリングストップ,-208.6,1.1052
2026-05-08,BUY,6040.0,MACD上抜け,0.0,1.1052
2026-05-14,SELL,5590.0,ハードストップ,-450.0,1.0229
2026-05-27,BUY,5980.0,MACD上抜け,0.0,1.0229
2026-05-29,SELL,5450.0,ハードストップ,-530.0,0.9322
2026-06-18,BUY,5660.0,MACD上抜け,0.0,0.9322
2026-06-19,HOLDING,5490.0,POS_OPEN,0.0,0.9322
