Ticker,Initial_Capital,Final_Capital,Total_Profit_JPY,Profit_Rate_Pct,Trade_Count
6506.T,1.0,1.0319,0,3.19,5
8766.T,1.0,0.9537,0,-4.63,5
8316.T,1.0,0.9398,0,-6.02,6
6326.T,1.0,1.3276,0,32.76,5
3692.T,1.0,1.0806,0,8.06,3
4307.T,1.0,0.9618,0,-3.82,2
4425.T,1.0,1.8282,0,82.82,3
1605.T,1.0,0.8865,0,-11.35,5
4417.T,1.0,1.1271,0,12.71,2
7182.T,1.0,1.2989,0,29.89,4
6629.T,1.0,1.2193,0,21.93,1
9412.T,1.0,1.5653,0,56.53,4
6361.T,1.0,1.105,0,10.5,4
1893.T,1.0,1.3492,0,34.92,4
290A.T,1.0,0.8852,0,-11.48,6
7711.T,1.0,0.9322,0,-6.78,6
6838.T,1.0,1.4138,0,41.38,5
7011.T,1.0,0.7859,0,-21.41,6
6203.T,1.0,0.9675,0,-3.25,6
5805.T,1.0,1.4264,0,42.64,3
4274.T,1.0,1.0685,0,6.85,4
6407.T,1.0,1.4018,0,40.18,2
3993.T,1.0,0.8475,0,-15.25,5
8306.T,1.0,1.1195,0,11.95,4
4704.T,1.0,0.9399,0,-6.01,4
6503.T,1.0,1.0097,0,0.97,6
6981.T,1.0,2.5675,0,156.75,4
5803.T,1.0,1.653,0,65.3,4
6383.T,1.0,1.4995,0,49.95,2
4258.T,1.0,0.9316,0,-6.84,3
464A.T,1.0,1.9544,0,95.44,5
6804.T,1.0,1.0991,0,9.91,4
6864.T,1.0,1.2626,0,26.26,4
6758.T,1.0,0.685,0,-31.5,7
7453.T,1.0,0.9826,0,-1.74,6
186A.T,1.0,2.0868,0,108.68,4
5857.T,1.0,1.1744,0,17.44,4
6954.T,1.0,0.9956,0,-0.44,5
7012.T,1.0,0.971,0,-2.9,6
7013.T,1.0,0.9617,0,-3.83,5
5201.T,1.0,1.5787,0,57.87,3
6702.T,1.0,0.8949,0,-10.51,5
3132.T,1.0,1.2724,0,27.24,4
7409.T,1.0,1.9046,0,90.46,3
8308.T,1.0,1.2923,0,29.23,4
8056.T,1.0,0.7726,0,-22.74,9
6208.T,1.0,1.2487,0,24.87,4
285A.T,1.0,2.3507,0,135.07,5
2326.T,1.0,0.8972,0,-10.28,7
6701.T,1.0,0.6648,0,-33.52,8
