Ticker,Initial_Capital,Final_Capital,Total_Profit_JPY,Profit_Rate_Pct,Trade_Count
7970.T,1.0,1.111,0,11.1,6
6055.T,1.0,0.9263,0,-7.37,2
6506.T,1.0,0.9293,0,-7.07,3
6407.T,1.0,1.2013,0,20.13,2
8316.T,1.0,1.1343,0,13.43,4
4417.T,1.0,1.0538,0,5.38,2
6103.T,1.0,1.3025,0,30.25,3
6101.T,1.0,1.0467,0,4.67,5
6954.T,1.0,0.8381,0,-16.19,4
3774.T,1.0,0.9164,0,-8.36,4
8056.T,1.0,0.9071,0,-9.29,1
4776.T,1.0,0.9975,0,-0.25,1
4307.T,1.0,0.9025,0,-9.75,2
7012.T,1.0,1.0008,0,0.08,3
6383.T,1.0,1.1009,0,10.09,3
6324.T,1.0,1.0951,0,9.51,3
6701.T,1.0,1.0133,0,1.33,3
5332.T,1.0,0.8787,0,-12.13,4
7711.T,1.0,0.9984,0,-0.16,1
6208.T,1.0,0.8992,0,-10.08,2
7762.T,1.0,1.5442,0,54.42,6
4704.T,1.0,0.9394,0,-6.06,2
5803.T,1.0,0.9316,0,-6.84,1
6326.T,1.0,0.9022,0,-9.78,4
3407.T,1.0,1.0136,0,1.36,4
5333.T,1.0,1.0435,0,4.35,4
6702.T,1.0,1.1041,0,10.41,1
6629.T,1.0,1.2019,0,20.19,3
6136.T,1.0,1.2427,0,24.27,4
285A.T,1.0,0.9966,0,-0.34,3
6638.T,1.0,1.0416,0,4.16,4
6971.T,1.0,0.8772,0,-12.28,5
7453.T,1.0,0.8181,0,-18.19,7
5393.T,1.0,0.9871,0,-1.29,5
3436.T,1.0,1.5687,0,56.87,3
6804.T,1.0,0.9304,0,-6.96,5
4258.T,1.0,1.0081,0,0.81,5
7013.T,1.0,0.95,0,-5.0,1
7011.T,1.0,0.846,0,-15.4,3
6864.T,1.0,0.9758,0,-2.42,5
8308.T,1.0,1.3051,0,30.51,5
6758.T,1.0,0.9644,0,-3.56,3
6013.T,1.0,1.1585,0,15.85,3
8306.T,1.0,1.2014,0,20.14,5
4183.T,1.0,0.95,0,-5.0,1
8766.T,1.0,0.9178,0,-8.22,4
1605.T,1.0,0.8574,0,-14.26,3
8084.T,1.0,1.2143,0,21.43,2
6677.T,1.0,1.0062,0,0.62,3
5201.T,1.0,1.2603,0,26.03,4
7182.T,1.0,0.9424,0,-5.76,3
7409.T,1.0,0.9942,0,-0.58,2
3993.T,1.0,1.0,0,0.0,0
6203.T,1.0,0.8829,0,-11.71,4
464A.T,1.0,1.4274,0,42.74,3
4274.T,1.0,0.8532,0,-14.68,3
5805.T,1.0,0.9372,0,-6.28,2
6981.T,1.0,1.2713,0,27.13,3
5991.T,1.0,0.8303,0,-16.97,3
4425.T,1.0,1.0372,0,3.72,1
3132.T,1.0,1.2225,0,22.25,3
6925.T,1.0,1.6808,0,68.08,6
2674.T,1.0,1.4039,0,40.39,6
6503.T,1.0,0.8722,0,-12.78,5
9962.T,1.0,0.8784,0,-12.16,6
3763.T,1.0,1.3305,0,33.05,3
290A.T,1.0,0.9741,0,-2.59,2
1893.T,1.0,1.1429,0,14.29,1
6266.T,1.0,1.2675,0,26.75,3
6838.T,1.0,1.4721,0,47.21,4
6125.T,1.0,0.924,0,-7.6,2
9412.T,1.0,1.0467,0,4.67,2
6361.T,1.0,0.9836,0,-1.64,3
6526.T,1.0,0.9874,0,-1.26,3
6264.T,1.0,1.1046,0,10.46,2
186A.T,1.0,1.3004,0,30.04,2
5857.T,1.0,1.1352,0,13.52,2
8411.T,1.0,1.0832,0,8.32,7
