Date,Action,Price,Reason,Profit,Capital
2025-12-16,SHORT_SELL,1552.2,デッドクロス,0.0,1.0
2025-12-16,BUY_BACK,1507.5,当日引け決済,44.7,1.0288
2026-02-03,SHORT_SELL,1639.6,デッドクロス,0.0,1.0288
2026-02-03,BUY_BACK,1668.6,当日引け決済,-29.0,1.0106
2026-03-10,SHORT_SELL,1768.3,デッドクロス,0.0,1.0106
2026-03-10,BUY_BACK,1802.7,当日引け決済,-34.4,0.9909
2026-04-16,SHORT_SELL,1698.0,デッドクロス,0.0,0.9909
2026-04-16,BUY_BACK,1707.5,当日引け決済,-9.5,0.9854
2026-05-22,SHORT_SELL,1714.5,デッドクロス,0.0,0.9854
2026-05-22,BUY_BACK,1695.0,当日引け決済,19.5,0.9966
